CO,NO2,pm10,pm25,Temperature,Humidity,Wind speed,date,time,CO_AQI,NO2_AQI,pm10_AQI,pm25_AQI,AQI
909,18.5,75.1,45.7,14,0.75,1.24,1/29/2024,22:00,9,9,61,126,126
748,18.3,77.7,48.6,14,0.76,0.92,1/29/2024,23:00,7,9,62,133,133
748,18.3,65.1,52.7,14,0.77,1.12,1/30/2024,0:00,7,9,56,143,143
640,18.1,78.5,49.7,14,0.77,1.35,1/30/2024,1:00,6,9,63,136,136
638,18.8,71.3,53,13,0.78,1.36,1/30/2024,2:00,6,9,59,144,144
503,18.8,64.6,49.6,13,0.79,1.2,1/30/2024,3:00,5,9,56,136,136
514,18.8,66.1,45.9,13,0.8,1.09,1/30/2024,4:00,5,9,56,127,127
424,18.8,70.3,50.2,13,0.8,1.1,1/30/2024,5:00,4,9,59,137,137
514,18.8,66,50.6,13,0.8,1.17,1/30/2024,6:00,5,9,56,138,138
644,16.8,54.9,44.5,13,0.81,1.38,1/30/2024,7:00,6,8,51,123,123
983,19.7,59.7,45.6,13,0.8,1.21,1/30/2024,8:00,10,10,53,126,126
974,19,64.4,41.3,13,0.77,1.2,1/30/2024,9:00,10,10,56,115,115
1040,18.3,64.5,63.2,14,0.75,1.53,1/30/2024,10:00,10,9,56,156,156
920,19,68.4,56.5,15,0.73,1.28,1/30/2024,11:00,9,10,58,152,152
960,16.7,71.5,60.2,16,0.7,1.03,1/30/2024,12:00,10,8,59,154,154
915,16.2,75.4,67.8,16,0.67,1.25,1/30/2024,13:00,9,8,61,160,160
1040,16.2,78.9,69.2,16,0.64,1.53,1/30/2024,14:00,10,8,63,161,161
1080,15.8,76.4,58.9,16,0.62,2.24,1/30/2024,15:00,11,8,62,153,153
1320,23.1,79.8,71.4,16,0.62,2.4,1/30/2024,16:00,13,12,63,162,162
1480,25.1,82.8,69.9,16,0.64,2.8,1/30/2024,17:00,15,13,65,161,161
1690,28.5,76.3,62.9,16,0.68,2.66,1/30/2024,18:00,17,14,62,156,156
1610,28.3,98.1,66.2,16,0.72,2.28,1/30/2024,19:00,16,14,72,159,159
1660,30.9,99.2,68.3,16,0.73,2.1,1/30/2024,20:00,16,15,73,160,160
1530,27.6,108,62.5,16,0.76,2.14,1/30/2024,21:00,15,14,77,156,156
1440,29.5,93.5,53.2,16,0.79,2.16,1/30/2024,22:00,14,15,70,145,145
1310,30.3,94.5,57.5,16,0.83,2.29,1/30/2024,23:00,13,15,71,152,152
1240,28.3,89.5,46.9,16,0.85,2.39,1/31/2024,0:00,12,14,68,129,129
1030,22.2,82.7,53.2,16,0.87,1.51,1/31/2024,1:00,10,11,65,145,145
902,22.2,78,49.3,16,0.84,1.32,1/31/2024,2:00,9,11,62,135,135
764,21.5,70.2,38.8,15,0.85,0.93,1/31/2024,3:00,8,11,59,109,109
735,21.2,63.6,44.8,15,0.86,1.25,1/31/2024,4:00,7,11,55,124,124
601,21.2,60.2,36.9,15,0.87,1.02,1/31/2024,5:00,6,11,54,104,104
619,21.2,56.5,32.8,15,0.88,0.43,1/31/2024,6:00,6,11,52,95,95
684,19.7,47.7,23.6,15,0.88,0.43,1/31/2024,7:00,7,10,44,78,78
910,20.7,35.1,28.5,15,0.87,1.13,1/31/2024,8:00,9,10,33,87,87
831,12.1,41.8,20.9,16,0.86,1.03,1/31/2024,9:00,8,6,39,73,73
